,Exp,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
130,Exp1,d11042021,l6WpQ,reward_learning,2.0,34.0,19.0,-1.0,0.0,427.0,0.060988736553969754,-1.0,419.0,-0.4739399200006794,1
131,Exp1,d11042021,l6WpQ,reward_learning,2.0,35.0,55.0,-1.0,0.0,294.0,-0.5197004419106729,-1.0,473.0,-0.10516822432291721,1
132,Exp1,d11042021,l6WpQ,reward_learning,2.0,36.0,0.0,1.0,160.0,286.0,-0.5546291142995236,1.0,636.0,1.0079759681858835,1
133,Exp1,d11042021,l6WpQ,reward_learning,2.0,37.0,57.0,1.0,142.0,336.0,-0.3363249118692068,1.0,507.0,0.1270213618445627,1
134,Exp1,d11042021,l6WpQ,reward_learning,2.0,38.0,32.0,1.0,142.0,300.0,-0.4935039376190349,1.0,560.0,0.48896395204681076,1
135,Exp1,d11042021,l6WpQ,reward_learning,2.0,39.0,32.0,1.0,142.0,232.0,-0.7903976529242657,1.0,487.0,-0.009560747665719606,1
136,Exp1,d11042021,l6WpQ,reward_learning,2.0,40.0,20.0,1.0,150.0,236.0,-0.7729333167298403,1.0,415.0,-0.5012563419027358,1
137,Exp1,d11042021,l6WpQ,reward_learning,2.0,41.0,1.0,-1.0,0.0,477.0,0.27929293898428653,-1.0,471.0,-0.11882643527394544,1
138,Exp1,d11042021,l6WpQ,reward_learning,2.0,42.0,47.0,-1.0,0.0,235.0,-0.7772994007784467,-1.0,713.0,1.5338170898004704,1
139,Exp1,d11042021,l6WpQ,reward_learning,2.0,43.0,1.0,-1.0,0.0,264.0,-0.650682963368863,-1.0,365.0,-0.8427116156784417,1
140,Exp1,d11042021,l6WpQ,reward_learning,2.0,44.0,55.0,-1.0,0.0,260.0,-0.6681472995632883,-1.0,473.0,-0.10516822432291721,1
141,Exp1,d11042021,l6WpQ,reward_learning,2.0,45.0,36.0,-1.0,0.0,262.0,-0.6594151314660757,-1.0,448.0,-0.2758958612107701,1
142,Exp1,d11042021,l6WpQ,reward_learning,2.0,46.0,20.0,1.0,150.0,265.0,-0.6463168793202566,1.0,618.0,0.8850520696266294,1
143,Exp1,d11042021,l6WpQ,reward_learning,2.0,47.0,10.0,1.0,153.0,278.0,-0.5895577866883742,1.0,530.0,0.28409078778138735,1
144,Exp1,d11042021,l6WpQ,reward_learning,2.0,48.0,0.0,1.0,160.0,245.0,-0.7336385602923834,1.0,529.0,0.2772616823058732,1
145,Exp1,d11042021,l6WpQ,reward_learning,2.0,49.0,47.0,-1.0,0.0,290.0,-0.5371647781050982,-1.0,429.0,-0.4056488652455383,1
146,Exp1,d11042021,l6WpQ,reward_learning,2.0,50.0,38.0,-1.0,0.0,311.0,-0.4454770130843652,-1.0,474.0,-0.0983391188474031,1
147,Exp1,d11042021,l6WpQ,reward_learning,2.0,51.0,36.0,-1.0,0.0,245.0,-0.7336385602923834,-1.0,529.0,0.2772616823058732,1
148,Exp1,d11042021,l6WpQ,reward_learning,2.0,52.0,43.0,1.0,158.0,337.0,-0.33195882782060043,1.0,597.0,0.7416408546408331,1
149,Exp1,d11042021,l6WpQ,reward_learning,2.0,53.0,38.0,-1.0,0.0,286.0,-0.5546291142995236,-1.0,399.0,-0.6105220295109617,1
150,Exp1,d11042021,l6WpQ,reward_learning,2.0,54.0,40.0,-1.0,0.0,264.0,-0.650682963368863,-1.0,488.0,-0.0027316421902054905,1
