,Exp,group,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
184,Exp1,d11032021,qBGkp,rating,4.0,31.0,Maca1n.jpg,3.419,9.0,-0.014555421156565657,-0.222896499066374
185,Exp1,d11032021,qBGkp,rating,5.0,23.0,Lewib1.jpg,2.806,56.0,-0.2819622094375335,2.714337740967153
186,Exp1,d11032021,qBGkp,rating,6.0,27.0,Vinb1n.jpg,2.388,1.0,-0.4643048481022065,-0.7228512633273998
187,Exp1,d11032021,qBGkp,rating,7.0,3.0,Fogeg1.jpg,3.204,1.0,-0.10834409893863424,-0.7228512633273998
188,Exp1,d11032021,qBGkp,rating,8.0,38.0,Lasc1n.jpg,2.852,0.0,-0.26189579465625373,-0.785345608860028
189,Exp1,d11032021,qBGkp,rating,9.0,24.0,Dekoa1.jpg,3.319,20.0,-0.058178061985434834,0.4645413017925365
190,Exp1,d11032021,qBGkp,rating,10.0,26.0,Clib1n.jpg,2.557,20.0,-0.39058258510141763,0.4645413017925365
191,Exp1,d11032021,qBGkp,rating,11.0,54.0,Kupka1.jpg,12.125,13.0,3.783231689404781,0.027080883064138913
192,Exp1,d11032021,qBGkp,rating,12.0,14.0,Kupkb1.jpg,2.806,26.0,-0.2819622094375335,0.8395073749883059
193,Exp1,d11032021,qBGkp,rating,13.0,42.0,Picc1n.jpg,2.59,36.0,-0.37618711362789087,1.4644508303145882
194,Exp1,d11032021,qBGkp,rating,14.0,40.0,Krab1n.jpg,2.581,5.0,-0.38011315130248907,-0.4728738811968869
195,Exp1,d11032021,qBGkp,rating,15.0,2.0,Dekob1.jpg,2.205,0.0,-0.5441342808190369,-0.785345608860028
196,Exp1,d11032021,qBGkp,rating,16.0,35.0,Wdeka1.jpg,3.069,0.0,-0.16723466405760767,-0.785345608860028
197,Exp1,d11032021,qBGkp,rating,17.0,46.0,Deka1n.jpg,2.726,6.0,-0.3168603221006288,-0.41037953566425867
198,Exp1,d11032021,qBGkp,rating,18.0,37.0,Mondb1.jpg,2.292,1.0,-0.5061825832979209,-0.7228512633273998
199,Exp1,d11032021,qBGkp,rating,19.0,25.0,Clifa1.jpg,7.581,34.0,1.801018890140968,1.3394621392493316
200,Exp1,d11032021,qBGkp,rating,20.0,18.0,Krasb1.jpg,2.645,8.0,-0.35219466117201276,-0.2853908445990022
201,Exp1,d11032021,qBGkp,rating,21.0,36.0,Gorkf1.jpg,2.181,10.0,-0.5546037146179655,-0.16040215353374576
202,Exp1,d11032021,qBGkp,rating,22.0,17.0,Picab1.jpg,2.429,20.0,-0.4464195653623702,0.4645413017925365
203,Exp1,d11032021,qBGkp,rating,23.0,39.0,Dekb1n.jpg,2.572,2.0,-0.3840391889770872,-0.6603569177947716
204,Exp1,d11032021,qBGkp,rating,24.0,1.0,Lewia1.jpg,3.365,2.0,-0.038111647204154914,-0.6603569177947716
