"","PID","chosen_obj","Exp","condition","reward_type","unchosen_obj","rating_chosen","rating_unchosen","zscored_rating_chosen","zscored_rating_unchosen","reward","memory_score_chosen","memory_score_unchosen"
"870","bcrdM",24,"Exp1",0,1,43,85,87,-0.294417439107006,-0.0604433153133587,159,1,0.5
"871","bcrdM",28,"Exp1",0,0,8,89,95,0.173530808480289,0.875453179861231,0,0.5,0.5
"872","bcrdM",30,"Exp1",1,0,56,93,86,0.641479056067583,-0.177430377210182,0,0.5,0.5
"873","bcrdM",33,"Exp1",1,0,40,90,91,0.290517870377112,0.407504932273936,0,0.5,1
"874","bcrdM",36,"Exp1",1,1,31,91,93,0.407504932273936,0.641479056067583,149,0.5,0.5
"875","bcrdM",39,"Exp1",0,0,22,92,94,0.52449199417076,0.758466117964407,0,0.5,0.5
"876","bcrdM",42,"Exp1",1,1,41,85,80,-0.294417439107006,-0.879352748591125,149,1,0.5
"877","bcrdM",5,"Exp1",1,0,51,93,84,0.641479056067583,-0.41140450100383,0,0,0
"878","bcrdM",58,"Exp1",0,1,16,93,85,0.641479056067583,-0.294417439107006,152,0.5,1
"879","bcrdM",6,"Exp1",1,0,38,91,90,0.407504932273936,0.290517870377112,0,0,0
"880","bcrdM",9,"Exp1",0,1,55,91,91,0.407504932273936,0.407504932273936,150,1,1
"881","bTadY",14,"Exp1",0,0,50,51,41,0.141624035638445,-0.300951075731695,0,1,1
"882","bTadY",17,"Exp1",1,1,46,34,38,-0.610753653690793,-0.433723609142737,150,1,0.5
"883","bTadY",2,"Exp1",0,0,33,35,58,-0.566496142553779,0.451426613597543,0,1,1
"884","bTadY",21,"Exp1",0,1,15,50,39,0.0973665245014309,-0.389466098005723,159,1,1
"885","bTadY",23,"Exp1",1,0,38,30,27,-0.787783698238849,-0.920556231649891,0,0.5,0.5
"886","bTadY",27,"Exp1",1,0,12,39,29,-0.389466098005723,-0.832041209375863,0,1,1
"887","bTadY",30,"Exp1",1,1,32,66,63,0.805486702693655,0.672714169282613,152,0,0
"888","bTadY",31,"Exp1",1,1,19,70,37,0.982516747241711,-0.477981120279751,151,0,0
"889","bTadY",40,"Exp1",1,0,54,40,25,-0.345208586868709,-1.00907125392392,0,0.5,0.5
"890","bTadY",42,"Exp1",0,1,24,67,58,0.849744213830669,0.451426613597543,160,0.5,1
"891","bTadY",52,"Exp1",0,1,18,41,60,-0.300951075731695,0.539941635871571,143,1,1
"892","bTadY",55,"Exp1",1,0,53,73,41,1.11528928065275,-0.300951075731695,0,0.5,0.5
"893","bTadY",58,"Exp1",0,0,0,71,29,1.02677425837873,-0.832041209375863,0,1,1
"894","bTadY",6,"Exp1",0,0,1,30,38,-0.787783698238849,-0.433723609142737,0,1,1
"895","bTadY",7,"Exp1",0,1,28,30,73,-0.787783698238849,1.11528928065275,156,1,0.5
"896","bTadY",8,"Exp1",1,1,41,58,43,0.451426613597543,-0.212436053457667,148,0,0.5
"897","BtztR",0,"Exp1",1,1,52,63,34,0.503906119431676,-0.766813660004724,159,0.5,0
"898","BtztR",1,"Exp1",0,1,20,62,37,0.460088196002834,-0.6353598897182,143,0.5,0
"899","BtztR",14,"Exp1",1,1,59,64,33,0.547724042860517,-0.810631583433565,150,0.5,0
"900","BtztR",18,"Exp1",1,0,12,42,35,-0.416270272573993,-0.722995736575882,0,0.5,1
"901","BtztR",2,"Exp1",0,0,33,38,61,-0.591541966289358,0.416270272573993,0,0.5,0.5
"902","BtztR",26,"Exp1",1,1,49,61,58,0.416270272573993,0.284816502287469,148,1,1
"903","BtztR",29,"Exp1",0,1,40,56,59,0.197180655429786,0.32863442571631,141,1,1
"904","BtztR",3,"Exp1",1,1,19,55,56,0.153362732000945,0.197180655429786,143,1,1
"905","BtztR",31,"Exp1",1,0,16,67,28,0.679177813147041,-1.02972120057777,0,0.5,1
"906","BtztR",34,"Exp1",1,0,24,68,62,0.722995736575882,0.460088196002834,0,0,0.5
"907","BtztR",41,"Exp1",1,0,44,66,61,0.6353598897182,0.416270272573993,0,0.5,0
"908","BtztR",45,"Exp1",0,0,47,61,62,0.416270272573993,0.460088196002834,0,0.5,0.5
"909","BtztR",51,"Exp1",0,1,17,67,38,0.679177813147041,-0.591541966289358,141,0,0.5
"910","BtztR",53,"Exp1",0,1,27,67,38,0.679177813147041,-0.591541966289358,142,0,0.5
"911","BtztR",57,"Exp1",0,0,7,70,69,0.810631583433565,0.766813660004724,0,0,0
"912","BtztR",8,"Exp1",0,0,50,67,50,0.679177813147041,-0.065726885143262,0,0.5,0
"913","bvf1h",1,"Exp1",0,0,56,78,33,0.924072278571692,-0.714138589546212,0,0.5,1
"914","bvf1h",13,"Exp1",1,0,30,31,78,-0.786947961462563,0.924072278571692,0,0.5,0.5
"915","bvf1h",14,"Exp1",0,1,53,77,59,0.887667592613516,0.232383245366354,144,1,0.5
"916","bvf1h",16,"Exp1",0,0,11,27,64,-0.932566705295266,0.414406675157233,0,1,1
"917","bvf1h",17,"Exp1",0,0,10,77,38,0.887667592613516,-0.532115159755334,0,1,1
"918","bvf1h",2,"Exp1",1,0,41,53,31,0.0139551296173006,-0.786947961462563,0,1,1
"919","bvf1h",24,"Exp1",1,0,31,78,31,0.924072278571692,-0.786947961462563,0,0.5,0.5
"920","bvf1h",28,"Exp1",0,1,8,67,60,0.52362073303176,0.26878793132453,153,1,1
"921","bvf1h",29,"Exp1",1,1,58,44,61,-0.31368704400628,0.305192617282706,157,0.5,0.5
"922","bvf1h",3,"Exp1",1,1,49,56,54,0.123169187491827,0.0503598155754762,145,0,0
"923","bvf1h",33,"Exp1",1,1,25,66,77,0.487216047073584,0.887667592613516,143,0.5,0.5
"924","bvf1h",39,"Exp1",1,1,37,25,61,-1.00537607721162,0.305192617282706,150,1,0.5
"925","bvf1h",4,"Exp1",0,1,21,65,37,0.450811361115408,-0.56851984571351,157,0.5,1
"926","bvf1h",47,"Exp1",0,1,34,69,31,0.596430104948111,-0.786947961462563,141,1,0.5
"927","bvf1h",5,"Exp1",1,0,27,59,73,0.232383245366354,0.742048848780813,0,0.5,1
"928","bvf1h",54,"Exp1",0,0,59,29,38,-0.859757333378915,-0.532115159755334,0,1,1
"929","BxnWZ",0,"Exp1",0,0,40,31,17,-0.587277556730857,-1.04447231822661,0,1,0.5
"930","BxnWZ",1,"Exp1",1,0,8,28,28,-0.685247862765661,-0.685247862765661,0,1,0.5
"931","BxnWZ",12,"Exp1",0,1,59,66,56,0.555709347008531,0.229141660225849,148,0.5,0.5
"932","BxnWZ",15,"Exp1",1,1,18,67,82,0.588366115686799,1.07821764586082,156,0.5,0.5
"933","BxnWZ",19,"Exp1",0,0,30,66,28,0.555709347008531,-0.685247862765661,0,0.5,0.5
"934","BxnWZ",23,"Exp1",1,0,17,34,50,-0.489307250696052,0.0332010481562393,0,0.5,0.5
"935","BxnWZ",24,"Exp1",1,1,42,52,79,0.0985145855127757,0.980247339826018,155,0.5,1
"936","BxnWZ",29,"Exp1",0,1,34,79,17,0.980247339826018,-1.04447231822661,149,1,1
"937","BxnWZ",3,"Exp1",1,0,33,39,61,-0.326023407304711,0.39242550361719,0,0.5,0.5
"938","BxnWZ",32,"Exp1",1,1,39,26,63,-0.750561400122198,0.457739040973726,150,0,0
"939","BxnWZ",43,"Exp1",1,0,35,71,27,0.718993190399872,-0.71790463144393,0,0.5,1
"940","BxnWZ",44,"Exp1",0,1,20,84,17,1.14353118321736,-1.04447231822661,146,1,0.5
"941","BxnWZ",45,"Exp1",1,1,53,57,19,0.261798428904117,-0.979158780870075,157,1,0.5
"942","BxnWZ",48,"Exp1",0,0,28,68,27,0.621022884365067,-0.71790463144393,0,0.5,1
"943","BxnWZ",58,"Exp1",0,1,31,60,35,0.359768734938921,-0.456650482017784,152,0.5,1
"944","BxnWZ",9,"Exp1",0,0,46,20,66,-0.946502012191807,0.555709347008531,0,1,1
"945","BxrGU",16,"Exp1",1,1,35,50,20,0.816958633047955,-0.406440318271778,148,1,1
"946","BxrGU",17,"Exp1",1,0,38,15,19,-0.610340143491733,-0.447220283315769,0,1,0.5
"947","BxrGU",2,"Exp1",1,1,29,14,10,-0.651120108535725,-0.814239968711689,143,0.5,1
"948","BxrGU",24,"Exp1",0,0,32,27,19,-0.12098056296384,-0.447220283315769,0,0.5,0.5
"949","BxrGU",25,"Exp1",0,1,44,60,18,1.22475828348787,-0.48800024835976,158,0.5,1
"950","BxrGU",28,"Exp1",0,1,20,16,18,-0.569560178447742,-0.48800024835976,146,1,1
"951","BxrGU",3,"Exp1",1,0,40,17,14,-0.528780213403751,-0.651120108535725,0,0.5,1
"952","BxrGU",36,"Exp1",1,0,34,11,25,-0.773460003667698,-0.202540493051822,0,1,1
"953","BxrGU",4,"Exp1",1,1,19,22,26,-0.324880388183796,-0.161760528007831,151,1,0.5
"954","BxrGU",46,"Exp1",1,1,39,50,19,0.816958633047955,-0.447220283315769,141,1,1
"955","BxrGU",47,"Exp1",0,1,53,26,14,-0.161760528007831,-0.651120108535725,150,1,0.5
"956","BxrGU",48,"Exp1",1,0,27,12,15,-0.732680038623707,-0.610340143491733,0,1,1
"957","BxrGU",51,"Exp1",0,0,10,10,38,-0.814239968711689,0.327599052520062,0,1,0.5
"958","BxrGU",52,"Exp1",0,1,41,50,13,0.816958633047955,-0.691900073579716,154,1,1
"959","BxrGU",56,"Exp1",0,0,58,19,13,-0.447220283315769,-0.691900073579716,0,0,0.5
"960","BxrGU",8,"Exp1",0,0,15,21,59,-0.365660353227787,1.18397831844388,0,1,1
"961","bYAJA",17,"Exp1",1,0,4,47,20,0.17987064804104,-0.719482592164159,0,0.5,0.5
"962","bYAJA",26,"Exp1",0,1,12,64,7,0.746130095577646,-1.15250452263333,144,0.5,0
"963","bYAJA",28,"Exp1",0,0,1,32,25,-0.319770040961848,-0.552935695829863,0,0.5,0.5
"964","bYAJA",3,"Exp1",0,0,51,64,7,0.746130095577646,-1.15250452263333,0,0,0.5
"965","bYAJA",30,"Exp1",1,1,16,44,7,0.079942510240462,-1.15250452263333,146,0,0.5
"966","bYAJA",31,"Exp1",1,1,2,65,6,0.779439474844505,-1.18581390190019,157,1,0.5
"967","bYAJA",32,"Exp1",0,1,22,66,63,0.812748854111364,0.712820716310787,150,1,1
"968","bYAJA",35,"Exp1",1,0,10,56,52,0.479655061442772,0.346417544375336,0,0.5,1
"969","bYAJA",39,"Exp1",0,1,48,50,50,0.279798785841617,0.279798785841617,140,0.5,0.5
"970","bYAJA",42,"Exp1",0,1,41,50,4,0.279798785841617,-1.25243266043391,147,1,0.5
"971","bYAJA",44,"Exp1",1,0,25,63,18,0.712820716310787,-0.786101350697877,0,0.5,0
"972","bYAJA",45,"Exp1",1,1,7,42,68,0.0133237517067436,0.879367612645083,156,0,0.5
"973","bYAJA",50,"Exp1",1,0,19,63,62,0.712820716310787,0.679511337043928,0,0.5,0
